Database Identifier,Institution,Mother Institution,State,Priority (1-4),"Type (Any Teaching 1, Pure Research 2, Government 3)",Divisions (Official Names separated by commas),"Private 1, Public 0, Mix 2, Unknown 3",COI,Year Founded,Students,Endowment (Millions),Operating Budget (Millions),Policy Different Between Schools? (Yes 1/No 0/Unknown 2),Link to the Policy?,Umbrella Policy
1330,College of New Rochelle ,,NY,,,,,,,,,,,,
1331,College of Notre Dame of Maryland ,,MD,,,,,,,,,,,,
1909,College of Optometry,,NY,,,,,,,,,,,,
1333,College of Saint Benedict ,,MN,,,,,,,,,,,,
1334,College of Saint Elizabeth ,,NJ,,,,,,,,,,,,
1336,College of Saint Joseph ,,VT,,,,,,,,,,,,
1337,College of Saint Mary ,,NE,,,,,,,,,,,,
1335,College of Saint Rose ,,NY,,,,,,,,,,,,
1338,College of Saint Scholastica ,,MN,,,,,,,,,,,,
1339,College of Saint Thomas More ,,TX,,,,,,,,,,,,
1340,College of Southern Nevada ,,NV,,,,,,,,,,,,
1291,College of Staten Island,,NY,,,,,,,,,,,http://www.cuny.edu/research/compliance/CUNY_Conflict_of_Interest_Policy_approved_June2008.doc,
1909,College of Technology at Alfred ,,FL,,,,,,,,,,,,
1909,College of Technology at Canton,,NY,,,,,,,,,,,,
1909,College of Technology at Delhi,,NY,,,,,,,,,,,,
1320,College of the Atlantic ,,ME,,,,,,,,,,,,
1324,College of the Holy Cross ,,MA,,,,,,,,,,,,
1326,College of the Menominee Nation ,,WI,,,,,,,,,,,,
1332,College of the Ozarks ,,MO,,,,,,,,,,,,
1341,College of Visual Arts ,,MN,,,,,,,,,,,,
1342,College of William and Mary ,,VA,1,,,1,1,1693,5850,539.5,,2,www.wm.edu/offices/grants/documents/routingform.pdf,
1344,Colorado Christian University ,,CO,4,,,,,,,,,,,
1345,Colorado College ,,CO,1,,,1,1,1874,2011,400.5,,2,http://www.coloradocollege.edu/hr/handbook/StaffHandbook.pdf,
1346,Colorado School of Mines ,,CO,1,,,0,1,1873,3338,148.1,,2,www.is.mines.edu/ora/FinIntDisclosForm.doc,
1347,Colorado State University ,,CO,1,,,0,1,1870,21204,398.9,,2,www.cvmbs.colostate.edu/cvmbs/CVMBS_ConflictsForm.pdf,
1348,Colorado State University–Pueblo ,,CO,1,,,,,,,,,,,
1349,Colorado Technical University ,,CO,4,,,,,,,,,,,
1350,Columbia College ,,MO,,,,,,,,,,,,
1351,Columbia College ,,SC,,,,,,,,,,,,
1352,Columbia College Chicago ,,IL,,,,,,,,,,,,
1353,Columbia College of Nursing ,,WI,,,,,,,,,,,,
1354,Columbia International University ,,SC,,,,,,,,,,,,
1355,Columbia Theological Seminary ,,GA,,,,,,,,,,,,
1356,Columbia University ,,NY,1,,"Columbia College, Fu Foundation School of Engineering and Applied Sciences",1,1,,26399,6500,,1,http://www.columbia.edu/cu/compliance/docs/conflict_interest/index.html,
1357,Columbus College of Art & Design ,,OH,,,,,,,,,,,,
1358,Columbus State University ,,GA,,,,,,,,,,,,
1359,Conception Seminary College ,,MO,,,,,,,,,,,,
1360,Concord University ,,WV,,,,,,,,,,,,
1361,Concordia College–Bronxville ,,NY,,,,,,,,,,,,
1362,Concordia College–Moorhead ,,MN,,,,,,,,,,,,
1363,Concordia College–New York ,,NY,,,,,,,,,,,,
1364,Concordia College–Selma ,,AL,,,,,,,,,,,,
1365,Concordia Seminary–Saint Louis ,,MO,,,,,,,,,,,,
1366,Concordia Theological Seminary ,,IN,,,,,,,,,,,,
1367,Concordia University–Ann Arbor ,,MI,,,,,,,,,,,,
1368,Concordia University–Chicago ,,IL,,,,,,,,,,,,
1369,Concordia University–Irvine ,,CA,,,,,,,,,,,,
1370,Concordia University–Nebraska ,,NE,,,,,,,,,,,,
1371,Concordia University–Portland ,,OR,,,,,,,,,,,,
1372,Concordia University–Saint Paul ,,MN,,,,,,,,,,,,
1373,Concordia University–Texas ,,TX,,,,,,,,,,,,
1374,Concordia University–Wisconsin ,,WI,,,,,,,,,,,,
1375,Connecticut College ,,CT,1,,,1,1,1911,1911,190,,2,http://www.conncoll.edu/giving/5340.htm,
1376,Conservatorio de Música de Puerto Rico ,,PR,,,,,,,,,,,,
1377,Converse College ,,SC,,,,,,,,,,,,
1378,Conway School of Landscape Design ,,MA,,,,,,,,,,,,
2161,Cooperative State Research Education and Extension Service ,,,1,2,,,,,,,,,,
1380,Coppin State University ,,MD,,,,,,,,,,,,
1381,Corban University ,,OR,,,,,,,,,,,,
1382,Corcoran College of Art & Design ,,DC,,,,,,,,,,,,
1383,Cornell College ,,IA,,,,,,,,,,,,
1384,Cornell University ,,NY,1,,Yes different schools,2,1,1865,20939,5200,,1,http://www.oria.cornell.edu/COI/,
1385,Cornerstone University ,,MI,,,,,,,,,,,,
1386,Cornish College of the Arts ,,WA,,,,,,,,,,,,
1387,Covenant College ,,GA,,,,,,,,,,,,
1388,Covenant Theological Seminary ,,MO,,,,,,,,,,,,
1389,Cox College ,,MO,,,,,,,,,,,,
1390,Cranbrook Academy of Art ,,MI,,,,,,,,,,,,
1391,Creighton University ,,NE,,,,,,,,,,,,
1392,Criswell College ,,TX,,,,,,,,,,,,
1393,Crossroads College ,,MN,,,,,,,,,,,,
1394,Crowley's Ridge College ,,AR,,,,,,,,,,,,
1395,Crown College ,,MN,,,,,,,,,,,,
1396,Culinary Institute of America ,,NY,4,,,,,,,,,,,
1397,Culver-Stockton College ,,MO,,,,,,,,,,,,
1398,Cumberland University ,,TN,,,,,,,,,,,,
1399,Curry College ,,MA,,,,,,,,,,,,
1400,Curtis Institute of Music ,,PA,4,,,,,,,,,,,
174,D´Youville College ,,NY,,,,1,2,,,,,,,
117,Daemen College ,,NY,3,1,,1,1,1947,3000,6.3,,,www.daemen.edu/offices/PersonnelOffice/Documents/Conflict.pdf ,
118,Dakota State University ,,SD,4,1,"Associate, Bachelor, Master, Doctoral",0,1,1801,3101,,,,www.foundation.dsu.edu/.../FoundationBoardOfTrusteesHandbook09-24-10.pdf,
119,Dakota Wesleyan University ,,SD,3,1,,1,1,1885,733,,,,https://dwu.edu/humanresources/handbook/thehandbook/D-26.DOC,
120,Dallas Baptist University ,,TX,3,1,"Bachelor, Master, Doctoral",1,0,1898,5470,36.39,,,,
121,Dallas Christian College ,,TX,4,1,,1,1,1950,336,,,,www.dallas.edu/Academics/.../2010-11%20Student%20Handbook.pdf,
122,Dallas Theological Seminary ,,TX,4,1,,1,0,1924,2012,,,,,
123,Dalton State College ,,GA,3,1,,0,1,1963,6000,25.3,,,www.daltonstate.edu/faculty-and-staff/pdf/full-time-faculty-handbook.pdf,
124,Daniel Webster College ,,NH,4,1,,1,0,1965,1200,,,,,
125,Dartmouth College ,,NH,1,1,"Dartmouth College, Dartmouth Medical School, Thayer School of Engineering, and Tuck School of Business",1,1,1769,6000,3000,,,http://www.dartmouth.edu/~osp/resources/policies/dartmouth/cofinterest.html,
126,Davenport University ,,MI,4,1,,1,1,1866,12471,,,,www.davenport.edu/Portals/0/SOS/2007DUOrientationManual.pdf,
127,Davidson College ,,NC,1,1,,1,1,1837,1890,427,,,http://www2.davidson.edu/administration/SACS/documents/TrusteeConflictStatement.pdf,
129,Davis & Elkins College ,,WV,,,,,,,,,,,,
128,Davis College ,,NY,4,1,,1,0,1900,300,,,,,
130,Daytona State College ,,FL,3,1,,0,1,1957,17352,29.3,,,www.daytonastate.edu/.../Prof%20Council%20By%20Laws%2002182011.pdf,
131,Dean College ,,MA,3,1,,,0,1865,,,,,,
132,Defiance College ,,OH,3,1,,,,1850,1000,12.5,,,,
133,Delaware State University ,,DE,3,1,,0,1,1891,,20.8,,,http://archives.desu.edu/hr/policies/Ethics.pdf,
134,Delaware Valley College ,,PA,3,,,,,1896,1600,30,,,,
135,Delta State University ,,MS,,,,,1,1924,4392,,,,www.deltastate.edu/pages/1894.asp,
136,Denison University ,,OH,2,1,,1,1,1831,2132,592,,,www.denison.edu/offices/financialaid/consumer/du_code_of_conduct.pdf,
137,Denver Seminary ,,CO,,,,,,1950,,,,,http://www.denverseminary.edu/about-us/denver-seminary-policy-manual/policy-name-conflict-of-interest/,
138,DePaul University ,,IL,1,1,,1,1,,,,,,http://compliance.depaul.edu/handbook/community.asp,
139,DePauw University ,,IN,1,1,,1,1,1837,2400,442,,,www.depauw.edu/univ/handbooks/dpuhandbooks.asp?ID=337&amp;parentid=300 ,
140,Des Moines University–Osteopathic Medical Center ,,IA,3,1,"College of Health Sciences, College of Podiatric Medicine and Surgery, College of Osteopathic Medicine and Surgery",1,1,1898,1582,,,,www.dmu.edu/about/educational_loans/code-of-conduct-2010.doc,
141,DeSales University ,,PA,3,1,,1,1,1965,2500,34,,,http://www.desales.edu/assets/desales/HumanRes/employeehandbooks/DSUSupportstaffhandbook.pdf,
142,DeVry University ,,IL,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
143,DeVry University–Addison ,,IL,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
144,DeVry University–Chicago ,,IL,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
145,DeVry University–Crystal City ,,VA,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
146,DeVry University–Georgia ,,GA,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
147,DeVry University–Irving ,,TX,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
148,DeVry University–Kansas City ,,MO,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
149,DeVry University–Long Beach ,,CA,3,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
150,DeVry University–Orlando ,,FL,,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
151,DeVry University–Phoenix ,,AZ,4,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
152,DeVry University–Pomona ,,CA,3,,,1,1,,,,,,http://www.devryinc.com/resources/pdfs/code_of_conduct.pdf,
153,Dickinson College ,,PA,,,,1,1,,,,,,http://www.dickinson.edu/uploadedFiles/academics/resources/dean/content/CH4May11.pdf,
154,Dickinson State University ,,ND,4,,,0,2,,,,,,,
155,Dillard University ,,LA,,,,1,1,,,,,,https://secure.ethicspoint.com/domain/media/en/gui/20996/DillardEmployeeCC.pdf,
156,Divine Word College ,,IA,4,1,,1,0,1912,,,,,,
157,Dixie State College ,,UT,4,1,"Bachelor's, Associate's",0,1,1911,6443,,,,www.dixie.edu/humanres/policy/sec4/411.html,
158,Doane College ,,NE,2,1,,1,1,1872,2950,71.8,,,http://content.yudu.com/Library/A1qwvx/DoaneCollegeEmployee/resources/37.htm,
159,Dominican College ,,NY,4,1,,1,0,1952,,,,,,
160,Dominican House of Studies ,,DC,4,1,"Bachelor of Sacred Theology, Licentiate of Sacred Theology, and Doctor of Sacred Theology, Master of Arts",1,0,1941,,,,,,
161,Dominican School of Philosophy & Theology ,,CA,4,1,,,0,1851,,,,,,
162,Dominican University ,,IL,4,1,"Undergraduate, Graduate School of Library and Information Science (GSLIS), the Brennan School of Business, the School of Education, Graduate School of Social Work, and School of Leadership and Continuing Studies",1,1,1901,3900,16.76,,,www.dom.edu/fdrs/orsp/grants/ - 8k - 2011-06-11,
163,Dominican University of California ,,CA,1,1,"Arts, Humanities and Social Sciences; Business and Leadership; Education and Counseling Psychology; and Health and Natural Sciences",1,0,1890,2270,17.36,,,,
164,Donnelly College ,,KS,4,1,,1,0,,,,,,,
165,Dordt College ,,IA,3,1,"Associate of Arts, Bachelor of Arts, Bachelor of Science in Engineering, Bachelor of Social Work, Bachelor of Science in Nursing and Master of Education",1,1,1955,1300,25,,,http://www.dordt.edu/publications/loans_code_of_conduct.pdf,
166,Dowling College ,,NY,3,1,"School of Arts & Sciences, Townsend School of Business, School of Education and School of Aviation",1,0,1955,6500,,,,,
1909,Downstate Medical Center,,NY,,,,,,,,,,,,
167,Drake University ,,IA,1,1,"College of Arts and Sciences, College of Public and Business Administration, School of Education, School of Journalism and Mass Communication",1,1,1881,5211,135,,,www.drake.edu/academics/policies/pdf/conflict.pdf,
168,Drew University ,,NJ,,,,1,1,,,,,,http://www.cdrewu.edu/assets/pdfs/FacultyManualFebruary2011/CDU%20Faculty%20Manual%2002-18-11.pdf,
169,Drexel University ,,PA,,,,1,1,,,,,,http://www.drexel.edu/hr/resources/policies/dupolicies/ogc1/,
170,Drury University ,,MO,,,,1,1,,,,,,www.drury.edu/cgcs/pdf/AdjunctFacultyHandbook.pdf,
171,Duke University ,,NC,,,,1,1,,,,,,http://www.provost.duke.edu/pdfs/fhb/FHB_App_O.pdf,
172,Dunwoody College of Technology ,,MN,,,,1,1,,,,,,unknown,
173,Duquesne University ,,PA,,,,1,1,,,,,,www.duq.edu/hr/admin-policies/tap33.cfm,
175,Earlham College ,,IN,,,,1,1,,,,,,http://legacy.earlham.edu/handbook/faculty/content/sectionf.html,
176,East Carolina University ,,NC,,,,0,1,,,,,,www.ecu.edu/cs-dhs/.../M-HS-Fdn-CONFLICT-OF-INTEREST-POLICY.pdf,
177,East Central University ,,OK,,,,0,1,,,,,,www.ecok.edu/siteContent/1/documents/academic_affairs/HBUD00.pdf,
178,East Stroudsburg State University of Pennsylvania ,,PA,3,1,,0,0,1893,7235,,,,,
179,East Tennessee State University ,,TN,1,1,,0,1,1911,15324,73.2,,,www.etsu.edu/research/COI_Policy_from_Faculty_Handbook.pdf,
180,East Texas Baptist University ,,TX,4,1,,1,0,1912,1354,56.2,,,,
181,East-West University ,,IL,4,1,,1,0,1980,1170,,,,,
183,Eastern Connecticut State University ,,CT,2,1,,0,1,1889,5671,,,,http://nutmeg.easternct.edu/academicaffairs/documents/FacultyHandbook/Section8-ProfessionalResponsibilitiesPolicies.pdf,
184,Eastern Illinois University ,,IL,4,1,,0,1,1895,11651,33.3,,,www.eiu.edu/~busofc/cash_guidelines.php,
185,Eastern Kentucky University ,,KY,3,1,,0,1,1874,16628,44.4,,,ssl.eku.edu/hr.eku.edu/doc/HR_Staff_Handbook.pdf,
186,Eastern Mennonite University ,,VA,3,1,,1,0,1917,1057,,,,,
187,Eastern Michigan University ,,MI,3,1,,0,1,1849,18245,40.7,,,www.emich.edu/policies/chapter6/6-4-1_policy.pdf,
188,Eastern Nazarene College ,,MA,3,1,,1,1,1900,1075,11,,,www1.enc.edu/HR/downloads/Conflict-of-Interest-Policy/,
189,Eastern New Mexico University ,,NM,3,1,,0,1,1927,5553,,,,http://www.enmu.edu/services/planning/policy_manual/10-9_BOR_Code_of_Conduct.pdf,
190,Eastern Oregon University ,,OR,3,1,"    * College of Business, College of Education, College of Arts and Sciences",0,1,1929,3743,4.9,,,www.eou.edu/academic/documents/OUTSIDEACTIVITIES.doc ,
182,Eastern University ,,PA,3,1,,1,1,1925,5235,,,,http://www.eastern.edu/centers/hr/pdf/staff_admin_handbook__2007.pdf,
191,Eastern Virginia Medical School ,,VA,3,1,,2,1,1973,779,38.7,,,http://www.evms.edu/faculty-resources/conflicts-of-interest-and-commitment-policy.html,
192,Eastern Washington University ,,WA,3,1,,0,1,1880,10750,52.2,,,cfweb.ewu.edu/policy/PolicyFiles/EWU_901_01.pdf,
193,Eckerd College ,,FL,,,,1,2,1958,1807,18.3,,,,
194,ECPI College of Technology ,,VA,4,1,,1,2,,,,,,,
195,Eden Theological Seminary ,,MO,4,1,,1,0,1850,,,,,,
196,Edgewood College ,,WI,4,1,,1,0,1927,2500,,,,,
197,Edinboro University of Pennsylvania ,,PA,3,1,,0,1,1857,8642,11.2,,,http://www.edinboro.edu/dotAsset/651625.docx,
198,Edison State College ,,FL,3,1,"Associate's, Bachelor's, Early College Program",0,1,1962,17000,,,,www.edison.edu/accreditation/docs/comprehensive_standards_combined.pdf,
2148,Education Development Center Inc ,,,1,2,,,,,,,,,,
2136,Education Testing Service ,,,1,2,,,,,,,,,,
199,Edward Waters College ,,FL,4,1,,1,0,1866,800,1.8,,,,
200,Elizabeth City State University ,,NC,4,1,"Bachelor's, Master's",0,2,1891,3100,,,,,
201,Elizabethtown College ,,PA,3,1,,1,1,1899,2082,48.2,,,link broken,
202,Ellis University ,,IL,4,1,,1,1,2008,,,,,ellis.edu/documents/Amended_bylaws_021011.pdf,
203,Elmhurst College ,,IL,3,1,,1,0,1871,3400,100,,,,
204,Elmira College ,,NY,2,1,,1,2,1855,1170,27.7,,,,
205,Elms College ,,MA,4,1,,1,0,1928,1118,12,,,,
206,Elon University ,,NC,1,1,,1,1,1889,5700,100.8,,,www.elon.edu/sponsoredprograms/docs/PImanual.doc,
207,Embry-Riddle Aeronautical University ,,AZ/FL,4,1,,1,2,1965,5100,,,,,
208,Emerson College ,,MA,2,1,,1,2,1880,4300,49,,,,
209,Emmanuel College ,,GA,3,1,,1,0,1919,,,,,,
210,Emmanuel College ,,MA,1,1,,1,2,1919,1700,62.7,,,,
211,Emmanuel School of Religion ,,TN,4,1,,1,2,1965,150,,,,,
212,Emmaus Bible College ,,IA,4,1,,1,0,1941,300,,,,,
214,Emory & Henry College ,,VA,4,1,,1,2,1836,980,66.5,,,,
215,Emory University ,,GA,1,,"College of Arts and Sciences, Oxford College, Laney Graduate School, School of Law, School of Medicine, Nell Hodgson Woodruff School of Nursing, Rollins School of Public Health, Candler School of Theology, Goizueta Business School",1,1,1836,12756,,,,http://www.emory.edu/home/news/special/conflict-of-interest-research.html,
1909,Empire State College,,NY,,,,,,,,12,,,,
213,Emporia State University ,,KS,4,1,,0,1,1863,6314,57.2,,,http://www.emporia.edu/saf/foundation/documents/EthicsStatementandCodeofConduct.pdf,
216,Endicott College ,,MA,3,1,,1,0,1939,5100,21.5,,,,
2092,Environmental Systems Research Institute ,,,1,2,,,,,,,,,,
217,Erikson Institute ,,IL,4,1,,1,0,1966,300,29.6,,,,
218,Erskine College ,,SC,4,1,,1,0,1839,575,52,,,,
219,Escuela de Artes Plásticas de Puerto Rico ,,PR,4,1,,0,2,1966,,,,,,
220,Eureka College ,,IL,3,,,1,1,1955,766,16.2,,,www.eureka.edu/students/pdfs/StudentHandbook.pdf,
221,Evangel University ,,MO,4,1,"Undergraduate Studies, Graduate Studies, Professional Studies",1,1,1955,,,,,www.evangel.edu/SFS/FinancialAid/Policies/CodeOfConduct.asp,
222,Everglades University ,,FL,4,1,,1,2,1998,678,,,,,
223,Evergreen State College ,,WA,3,1,,0,,1967,4800,30,,,www.evergreen.edu/individualstudy/docs/ConflictofInterestPolicy.pdf ,
224,Excelsior College ,,NY,3,1,,1,2,1971,31683,,,,,
2156,Exploratorium Museum of Science Art and Human Perception ,,,1,2,,,,,,,,,,
784,Fairbanks,,OH,,,,,,,,,,,,
225,Fairfield University ,,CT,2,1,,1,1,1942,4731,218,,,www.fairfield.edu/student/crc_ethics.html,
226,Fairleigh Dickinson University ,,NJ,3,1,,1,1,1942,,23.9,,,www.fdu.edu/admin/cip.html,
227,Fairmont State University ,,WV,3,1,,0,1,1865,7740,8.76,,,http://www.fairmontstate.edu/aboutfsu/sites/default/files/bog-policies/fsu_policy_20.pdf,
228,Faith Baptist Bible College & Theological Seminary ,,IA,4,1,,1,1,1921,400,,,,www.faith.edu/financialaid/codeofconduct.pdf,
770,Fajardo Campus,,OH,,,,,,,,,,,,
1909,Farmingdale State College,,NY,,,,,,,,,,,,
229,Fashion Institute of Design & Merchandising ,,CA,3,1,,1,0,1969,7500,,,,,
1909,Fashion Institute of Technology,,NY,,,,,,,,,,,,
230,Faulkner University ,,AL,3,1,,1,1,1942,3000,15.4,,,www.faulkner.edu/sharedmedia/pdfs/policies/AdjFacHbk.pdf,
231,Fayetteville State University ,,NC,3,1,,0,1,1867,6000,12.1,,,http://www.uncfsu.edu/chancellor/legal_counsel/Forms/ConflictofIntrestandCommitmentForms.pdf,
232,Felician College ,,NJ,4,1,,1,2,1942,2050,0.717,,,,
2077,Fermi National Accelerator Laboratory ,,,1,1,,,,,,,,,http://wdrs.fnal.gov/policies/policy/standardsofconduct.html,
233,Ferris State University ,,MI,2,1,,0,1,1884,14350,25.1,,,www.ferris.edu/htmls/administration/trustees/boardpolicy/9sub9-2.htm,
234,Ferrum College ,,VA,3,1,,1,1,1913,1400,31.8,,,http://www.ferrum.edu/Uploads/files/Downloads/FH-SECT-V-INSTITUTIONAL%20POLICIES.pdf,
235,Fielding Graduate University ,,CA,4,1,,1,1,1974,,,,,www.fielding.edu/generalInfo/handbook/institutional ,
236,Finlandia University ,,MI,4,1,"International School of Art & Design, International School of Business, Suomi College of Arts and Sciences, College of Health Sciences",1,0,1896,,,,,,
237,Fisher College ,,MA,,,,1,1 (financial aid),1903,1121,,,,http://www.fisher.edu/admissions/financial-aid-landing/financial-aid/policies-procedures/code-of-conduct-and-disclosure.html,
238,Fisk University ,,TN,2,1,,1,"1, links broken",1866,800,,,,http://www.fisk.edu/SupportPages/Results.aspx?IndexCatalogue=All%20Content&SearchQuery=conflict%20of%20interest,
239,Fitchburg State University ,,MA,2,1,,0,1,1894,5201,7,,,http://www.fitchburgstate.edu/humanres/documents/ SummaryoftheConflictofInterestLawforStateEmployees.doc,
240,Five Towns College ,,NY,4,1,,1,0,1974,1163,,,,,
241,Flagler College ,,FL,2,1,,1,1,1968,2600,50,,,http://www.flagler.edu/_documents/departments/human_resources/staffpershandbook2011a.pdf,
242,Florida Agricultural & Mechanical University ,,FL,3,1,,0,1,1887,13089,88,,,http://www.famu.edu/index.cfm?DOR_division_of_research&GlossaryofTerms,
243,Florida Atlantic University ,,FL,2,1,,,"1, financial",1964,28000,156.4,,,www.fau.edu/research/docs/forms/sponsoredprogs/conflict_of_interest.pdf,
244,Florida Christian College ,,FL,4,1,,1,0,1976,300,,,,,
245,Florida College ,,FL,4,1,,1,0,1946,476,11,,,,
246,Florida Gulf Coast University ,,FL,2,1,,0,1,1991,12024,57.1,,,www.fgcu.edu/cob/cobhandbook/documents/conflict_05.pdf,
247,Florida Hospital College of Health Sciences ,,FL,4,1,,1,0,1992,2600,,,,,
248,Florida Institute of Technology ,,FL,2,1,,1,1,1958,6400,32.8,,,www.fit.edu/research/documents/conflict.pdf,
249,Florida International University ,,FL,,,,0,1,1965,44010,138,,,http://docs.google.com/viewer?a=v&q=cache:Vt3SIp1LMp0J:academic.fiu.edu/academicbudget/www/Not%2520In-Unit%2520outsideactivity-7-15-07.doc+conflict+of+interest&hl=en&gl=us&pid=bl&srcid=ADGEESiJ-_KAIPx2PQzO6W_2kN81X9DK7M-65AnEqioH98CdW25jMHOuRhyeQ-X94myvjeQHYJC75a2nl2PxNCLIMI4w_dS2vlmVopUwKH2j8VNABB77p35CH1GKy4UHxSpdNqyvIQQC&sig=AHIEtbRTwdmwqozmwL_vKt17CRWP6gOKLw,
250,Florida Memorial University ,,FL,3,1,,1,0,1879,1800,,,,,
251,Florida National College ,,FL,,,don't think this is a real university...,,,,,,,,,
252,Florida Southern College ,,FL,2,1,,1,0,1883,2426,51,,,,
253,Florida State College at Jacksonville ,,FL,3,1,,0,1,1966,81370,32,,,www.fscj.edu/district/general-counsel/assets/documents/code-bus-ethics.pdf?catoid=21&navoid=2594,
254,Florida State University ,,FL,1,1,,0,1,1851,40838,453,,,facultyhandbook.fsu.edu/section4.html,
255,Fontbonne University ,,MO,3,1,,1,1,1921,3102,17.1,,,www.fontbonne.edu/upload/Fontbonne_PolicyManual2010_Vol_V.pdf,
256,Fordham University ,,NY,1,1,,1,0,1841,14544,396,,,,
257,Forest Institute of Professional Psychology ,,MO,4,1,,1,0,,,,,,,
258,Fort Hays State University ,,KS,4,1,,0,1,1902,11308,40.5,,,http://www.fhsu.edu/departments.aspx?id=12884907264&terms=conflict%20of%20interest,
259,Fort Lewis College ,,CO,3,1,,0,1,1911,3685,,,,www2.fortlewis.edu/Portals/71/Docs/exempt_staff_handbook.pdf,
260,Fort Valley State University ,,GA,4,1,,0,0,1895,3800,,,,,
261,Framingham State University ,,MA,3,1,,0,1,1839,5903,,,,http://www.framingham.edu/human-resources/policies-contracts-and-state-and-federal-law/state-ethics-commission.html,
262,Francis Marion University ,,SC,3,1,,0,0,1970,265,22,,,,
263,Franciscan School of Theology ,,CA,4,1,,1,0,1854,69,,,,,
264,Franciscan University of Steubenville ,,OH,4,1,,1,1,1946,2500,27.9,,,www.franciscan.edu/HRForms/,
265,Frank Lloyd Wright School of Architecture ,,AZ,3,1,,1,0,,,,,,,
266,Franklin & Marshall College ,,PA,2,1,,1,1,1787,2118,318,,,http://www.fandm.edu/humanresources/article/conflicts-of-interest-policy,
267,Franklin College ,,IN,3,1,,1,1,1834,1047,66.7,,,http://www.franklincollege.edu/system/files/FranklinCollegeConflictofInterestStatement-BoardApproved2009.pdf,
268,Franklin Pierce University ,,NH,4,1,,1,1,1962,1500,,,,http://franklinpierce.edu/about/neasc/STANDARD ELEVEN.pdf,
269,Franklin University ,,OH,3,1,,1,0,1902,7942,60,,,,
270,Franklin W. Olin College of Engineering ,,MA,1,1,,1,1,1997,306,328.7,,,http://www.olin.edu/about_olin/history/docs/personal_institutional_values.html,
2139,Fred Hutchinson Cancer Research Center ,,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBkQFjAA&url=http%3A%2F%2Fextranet.fhcrc.org%2FEN%2Fsections%2Fgeneral_counsel%2Fpolicies%2Finstitutional_confli.pdf&rct=j&q=Fred%20Hutchinson%20Cancer%20Research%20Center%20%20%20conflict%20of%20interest%20policy&ei=0OjqTYaAA8rDgQfpto3ZCQ&usg=AFQjCNEVN9eQbn6m-0zCoBkPZxhf-fCbHg&sig2=mCmRUnrYd2WgLlDDMEertw&cad=rja,
271,Free Will Baptist Bible College ,,TN,4,1,,1,2,1942,350,,,,,
272,Freed-Hardeman University ,,TN,3,1,,1,0,1869,1942,24.4,,,,
273,Fresno Pacific University ,,CA,4,1,,1,0,1944,1650,,,,,
274,Friends University ,,KS,,,"College of Business, Arts, Sciences and Education (CBASE), the College of Adult Professional Studies (CAPS), Graduate School ",1,1,1898,,,,,http://www.friends.edu/sites/default/files/pdf/ConflictofInterest_2010_09_07.pdf,
275,Frontier School of Midwifery & Family Nursing ,,KY,4,1,,1,,1939,900,,,,,
276,Frostburg State University ,,MD,4,1,"Business, Education, College of Arts and Sciences",0,1,1898,6100,,,,www.frostburg.edu/admin/policies/fsupolicy/1_005.pdf,
277,Fuller Theological Seminary ,,CA,4,1,"Theology, Psychology, Intercultural Studies",1,0,1947,4000,,,,,
278,Furman University ,,SC,1,1,,1,1,1826,3000,444,,,www.furman.edu/policies/view.htm?policy=369&name=861.2%20After%20Hour%20Jobs%20for%20Support%20Employees&arc=,
279,Future Generations Graduate School ,,WV,4,1,,1,0,2003,,,,,,
280,Gainesville State College ,,GA,4,1,,0,0,1964,4,9474,,,,
281,Gallaudet University ,,DC,3,1,,2,1,1864,2400,136.4,,,www.gallaudet.edu/af/Documents/af_conflict_of_interest_staff.pdf,
282,Gannon University ,,PA,2,1,"College of Engineering and Business,College of Engineering and Business, Morosky College of Health Professions and Sciences",1,1,1925,4238,28.8,,,http://www.gannon.edu/depts/hr/forms/Employment/For%20Applicants/ConflictsofInterestDisclosure.doc,
283,Gardner-Webb University ,,NC,3,1,,1,2,1905,4300,40,,,,
285,Geneva College ,,PA,3,1,,1,1,1848,1791,28.6,,,www.geneva.edu/page/studenthandbook,
286,George Fox University ,,OR,3,1,,1,1,1885,2140,16.1,,,www.georgefox.edu/offices/hr/Employee%20Handbook%202011.pdf,
287,George Mason University ,,VA,4,1,,1,1,1957,35562,41.8,,,research.gmu.edu/conflict_of_interest.html,
